iter	Passed	Remaining
639	4622	2600
640	4624	2589
641	4625	2579
642	4627	2569
643	4630	2559
644	4632	2549
645	4635	2539
646	4636	2529
647	4638	2519
648	4640	2509
649	4642	2500
650	4649	2492
651	4652	2483
652	4654	2473
653	4658	2464
654	4668	2458
655	4669	2448
656	4671	2438
657	4673	2428
658	4678	2420
659	4680	2411
660	4682	2401
661	4683	2391
662	4685	2381
663	4687	2371
664	4688	2362
665	4691	2352
666	4693	2343
667	4695	2333
668	4696	2323
669	4698	2314
670	4700	2304
671	4702	2295
672	4703	2285
673	4706	2276
674	4708	2267
675	4711	2258
676	4714	2249
677	4720	2242
678	4722	2232
679	4724	2223
680	4726	2213
681	4740	2210
682	4752	2205
683	4754	2196
684	4756	2187
685	4778	2187
686	4780	2177
687	4781	2168
688	4786	2160
689	4788	2151
690	4789	2141
691	4791	2132
692	4793	2123
693	4794	2114
694	4796	2104
695	4798	2095
696	4800	2086
697	4801	2077
698	4803	2068
699	4804	2059
700	4809	2051
701	4811	2042
702	4818	2035
703	4819	2026
704	4821	2017
705	4824	2008
706	4825	1999
707	4827	1990
708	4829	1982
709	4830	1973
710	4832	1964
711	4833	1955
712	4835	1946
713	4837	1937
714	4839	1929
715	4841	1920
716	4843	1911
717	4844	1902
718	4846	1894
719	4848	1885
720	4850	1876
721	4854	1869
722	4856	1860
723	4858	1852
724	4860	1843
725	4861	1834
726	4863	1826
727	4865	1817
728	4866	1809
729	4871	1801
730	4873	1793
731	4875	1784
732	4876	1776
733	4878	1767
734	4879	1759
735	4881	1751
736	4917	1754
737	4922	1747
738	4924	1739
739	4926	1730
740	4927	1722
741	4940	1717
742	4942	1709
743	4944	1701
744	4946	1693
745	4951	1685
746	4953	1677
747	4955	1669
748	4956	1661
749	4958	1652
750	4959	1644
751	4961	1636
752	4962	1627
753	4964	1619
754	4966	1611
755	4967	1603
756	4969	1595
757	4971	1587
758	4972	1578
759	4974	1570
760	4977	1563
761	4979	1555
762	4982	1547
763	4984	1539
764	4985	1531
765	4988	1523
766	4990	1515
767	4993	1508
768	4995	1500
769	4996	1492
770	4998	1484
771	5000	1476
772	5001	1468
773	5003	1460
774	5005	1453
775	5007	1445
776	5009	1437
777	5011	1429
778	5012	1422
779	5014	1414
780	5016	1406
781	5017	1398
782	5019	1391
783	5021	1383
784	5024	1376
785	5026	1368
786	5027	1360
787	5029	1353
788	5030	1345
789	5032	1337
790	5034	1330
791	5035	1322
792	5040	1315
793	5042	1308
794	5044	1300
795	5045	1293
796	5047	1285
797	5048	1278
798	5050	1270
799	5055	1263
800	5057	1256
801	5059	1249
802	5060	1241
803	5062	1234
804	5063	1226
805	5065	1219
806	5067	1212
807	5070	1204
808	5072	1197
809	5073	1190
810	5075	1182
811	5077	1175
812	5079	1168
813	5080	1160
814	5085	1154
815	5087	1147
816	5089	1139
817	5090	1132
818	5092	1125
819	5094	1118
820	5095	1111
821	5097	1103
822	5099	1096
823	5101	1089
824	5102	1082
825	5104	1075
826	5106	1068
827	5107	1061
828	5109	1053
829	5111	1046
830	5116	1040
831	5118	1033
832	5119	1026
833	5121	1019
834	5123	1012
835	5124	1005
836	5126	998
837	5128	991
838	5131	984
839	5132	977
840	5134	970
841	5136	963
842	5137	956
843	5139	949
844	5140	943
845	5142	936
846	5148	930
847	5150	923
848	5151	916
849	5153	909
850	5155	902
851	5156	895
852	5161	889
853	5163	882
854	5165	876
855	5167	869
856	5168	862
857	5170	855
858	5172	849
859	5174	842
860	5177	835
861	5179	829
862	5180	822
863	5182	815
864	5184	809
865	5185	802
866	5187	795
867	5190	789
868	5192	782
869	5193	776
870	5195	769
871	5197	762
872	5198	756
873	5200	749
874	5202	743
875	5204	736
876	5206	730
877	5209	723
878	5210	717
879	5212	710
880	5214	704
881	5215	697
882	5217	691
883	5219	684
884	5223	678
885	5225	672
886	5227	665
887	5228	659
888	5230	653
889	5232	646
890	5233	640
891	5237	634
892	5239	627
893	5240	621
894	5242	615
895	5248	609
896	5254	603
897	5255	597
898	5257	590
899	5259	584
900	5261	578
901	5262	571
902	5264	565
903	5269	559
904	5271	553
905	5295	549
906	5297	543
907	5303	537
908	5305	531
909	5306	524
910	5308	518
911	5310	512
912	5311	506
913	5313	499
914	5316	493
915	5318	487
916	5320	481
917	5321	475
918	5323	469
919	5324	463
920	5328	457
921	5331	451
922	5333	444
923	5338	439
924	5341	433
925	5346	427
926	5348	421
927	5350	415
928	5352	409
929	5354	403
930	5356	396
931	5362	391
932	5364	385
933	5366	379
934	5368	373
935	5369	367
936	5372	361
937	5374	355
938	5376	349
939	5378	343
940	5380	337
941	5382	331
942	5384	325
943	5386	319
944	5391	313
945	5393	307
946	5395	301
947	5397	296
948	5398	290
949	5400	284
950	5405	278
951	5408	272
952	5411	266
953	5413	261
954	5415	255
955	5417	249
956	5418	243
957	5420	237
958	5422	231
959	5424	226
960	5426	220
961	5429	214
962	5431	208
963	5433	202
964	5434	197
965	5436	191
966	5438	185
967	5440	179
968	5446	174
969	5448	168
970	5449	162
971	5451	157
972	5453	151
973	5455	145
974	5458	139
975	5459	134
976	5461	128
977	5463	122
978	5465	117
979	5467	111
980	5469	105
981	5474	100
982	5480	94
983	5482	89
984	5483	83
985	5485	77
986	5491	72
987	5493	66
988	5495	61
989	5496	55
990	5498	49
991	5500	44
992	5501	38
993	5508	33
994	5509	27
995	5546	22
996	5548	16
997	5550	11
998	5553	5
999	5555	0
